"Customer","Type","Type (Online - Virtual or Physical)","Channel Category","Country Code","Nation Name","Region Name","State/Province Name","City Name","District Name","Location Name","Postal Code","Address","Group","Region Site Group Name","REP Flag","Latitude","Longitude","Initially Admitted","Updated Dttm"
"Aktau 55G02-o2 Dina","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau, Mangistauskaya, KAZAKHSTAN","CXXYR90YRFK08","","","","","2020/07/22 20:02:05","2020/10/19 03:05:10"
"Aktau logy-MKR 14","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","MKR 14 Tamshaly","CXXYR90307YR","","Y","","","2014/08/01 17:03:14","2015/04/28 18:28:02"
"Aktau logy-MKR 5","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","MKR 5 dom1","CXXYR90307YR","","Y","","","2015/02/10 16:47:56","2015/04/28 18:13:09"
"Aktau logy-MKR 5","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","MKR 5 dom1","CXXYR90307YR","","","","","2015/04/28 13:23:48","2019/01/28 03:05:05"
"Aktau2-KEM-Office-lg","STORE","PHYSICAL","OPERATOR","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","","C00YR6307YR9","","","","","2014/12/19 12:37:38","2021/03/15 20:14:00"
"Aktau-3-DPD-Magazin-Mebeli","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","г.Актау Мебель между 11 и 26","CXX3YR00800","","Y","","","2019/03/19 18:40:23","2024/05/03 17:47:44"
"Aktau4-KEM4TRK-Aktau","STORE","PHYSICAL","OPERATOR","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","","C00YR6307YR9","","","","","2014/12/19 12:37:38","2021/03/15 20:14:00"
"Aktau-5-DPD-30mkr","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","г. Актау, 30 мкр., здание 171","CXX3YR00800","","Y","","","2019/03/19 18:40:23","2024/05/03 17:47:44"
"Aktau-9-DPD-11mkr","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","г. Актау мкр.11, здание 1/1","CXX3YR00800","","Y","","","2019/03/19 18:40:23","2024/05/03 17:47:44"
"Aktau-Atlant-14 mkr","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","14 mkr","CXX3YR008YR6","","","","","2013/11/27 16:38:42","2021/06/04 13:38:44"
"Aktau-Atlant-4 mkr","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","4 mkr","CXX3YR008YR6","","","","","2013/11/27 16:38:42","2021/06/04 13:38:44"
"Aktau-DPD-Atrium","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau, Mangistauskaya, KAZAKHSTAN","CXX3YR00800","","Y","","","2019/03/19 18:40:23","2024/05/03 17:47:44"
"Aktau-DPD-Sunkar9","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","с. Баскудык, ул. Сункар, дом № 9, Aktau, Mangistauskaya, KAZAKHSTAN","CXX3YR00800","","Y","","","2020/09/23 16:53:04","2024/05/03 17:47:44"
"Aktau-nokia-Mebelniy","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Mezhdu 11 i 26 mkr","CXX3YR00800","","Y","43.657394","51.160208","2014/08/21 17:47:36","2024/05/03 17:47:44"
"Aktau-nokia-Mkr12","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","mkr 12","CXX3YR00800","","Y","43.660348","51.156321","2016/12/05 18:02:22","2024/05/03 17:47:44"
"Aktau-nokia-MKR12","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","MKR 12a dom 5, Aktau, Mangistauskaya, KAZAKHSTAN","CXX3YR00800","","","","","2021/03/29 16:01:37","2024/05/03 17:47:44"
"Aktau-nokia-Mkr16","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","mkr 16","CXX3YR00800","","Y","43.667632","51.153345","2012/09/19 18:06:58","2024/05/03 17:47:44"
"Aktau-nokia-Mkr29","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","mkr 16","CXX3YR00800","","Y","","","2016/12/28 14:34:28","2024/05/03 17:47:44"
"Aktau-nokia-Mkr30-171","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","mkr 14 TC ""Astana""","CXX3YR00800","","Y","43.676302","51.162346","2015/11/17 17:11:37","2024/05/03 17:47:44"
"Aktau-nokia-Mkr5","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","MKR 5 zdanie 1B","CXX3YR00800","","Y","43.638781","51.162904","2016/03/30 13:47:21","2024/05/03 17:47:44"
"Aktau-nokia-Mkr7","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","MKR 5 zdanie 1B","CXX3YR00800","","Y","","","2016/12/29 16:27:01","2024/05/03 17:47:44"
"Aktau-nokia-TC-Mebel-11a","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau, Mangistauskaya, KAZAKHSTAN","CXX3YR00800","","Y","","","2020/06/29 17:03:30","2024/05/03 17:47:44"
"Aktau-o2-11mkr-7","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau, Mangistauskaya, KAZAKHSTAN","CXXYR90YRFK08","","Y","43.233386","76.956798","2022/02/14 17:30:24","2022/03/30 13:36:26"
"AKtau-o2-Ak-Kala-MAll","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","mkr 29, Aktau, Mangistauskaya, KAZAKHSTAN","CXXYR90YRFK08","","","","","2018/11/29 23:14:17","2023/10/16 03:07:08"
"Aktau-o2-mkr-16-zdanie-2-TD-Kazakhstan","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","мкр. 4, здание 74/1, ТЦ ""Казахстан""","CXXYR90YRFK08","","Y","43.637519","51.16598","2014/12/10 13:14:34","2022/05/30 19:33:20"
"Aktau-o2-mkr-16-zdanie-4-TRK-AKTAU","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","мкр. 16, здание 4, ТРК ""Актау""","CXXYR90YRFK08","","Y","43.666979","51.153411","2013/05/22 20:22:38","2022/05/30 19:33:20"
"Aktau-o2-mkr17","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","17mkr.","CXXYR90YRFK08","","Y","","","2012/09/19 18:06:58","2013/05/22 14:57:02"
"Aktau-o2-mkr17","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","17mkr.","CXXYR90YRFK08","","Y","43.668038","51.142706","2013/05/22 00:05:42","2022/05/09 03:07:28"
"Aktau-o2-mkr17","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau, Mangistauskaya, KAZAKHSTAN","CXXYR90YRFK08","","Y","43.218495","76.927723","2021/03/29 13:51:53","2021/08/02 17:18:18"
"Aktau-Samsung-Office","STORE","VIRTUAL","INDEPENDENT","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","11 mkr 35A","CXX37YR0FK7FK","","","43.657619","51.155423","2016/06/01 16:54:24","2022/04/08 21:37:01"
"Aktau-tesla-Baskudyk-Avtrodrom-18","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau, Mangistauskaya, KAZAKHSTAN","CXXYR90YRFK00","","","","","2020/02/21 14:27:38","2023/06/02 18:27:54"
"Aktau-tesla-Hazar","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau, Mangistauskaya, KAZAKHSTAN","CXXYR90YRFK00","","Y","51.148678","71.47001","2022/12/09 18:11:38","2023/01/23 03:07:30"
"Aktau-tesla-Microdistrict-12A","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Mkr 12","CXXYR90YRFK00","","Y","43.660348","51.156321","2014/04/11 18:31:23","2022/04/27 18:37:51"
"Aktau-tesla-Microdistrict-14","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Mkr 14 A","CXXYR90YRFK00","","Y","43.646011","51.150214","2014/01/08 14:05:43","2022/04/27 18:37:51"
"Aktau-tesla-Microdistrict-31","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Mkr 31","CXXYR90YRFK00","","Y","43.67719","51.177287","2018/02/20 13:23:50","2022/04/27 18:47:47"
"Aktau-tesla-REG-WH-ORCA-Base","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau_Mechta_REG_WH_ORCA_Base","CXXYR90YRFK00","","","","","2015/12/08 14:25:06","2024/03/14 01:07:45"
"Aktau-vodafone-4mkr","STORE","PHYSICAL","INDEPENDENT","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Aktau, Mangistauskaya, KAZAKHSTAN","CXX3YR008YR6","","","","","2018/09/10 20:40:54","2024/04/15 21:06:09"
"Aktau-xiaomi-17MKR","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Магазин Актау 17 микрорайон","CXXYR90YRFK07","","Y","","","2021/01/11 21:27:59","2024/04/22 03:06:57"
"Aktau-xiaomi-Bayterek","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Магазин Билайн Актау Байтерек","CXXYR90YRFK07","","Y","","","2018/03/05 16:37:26","2024/05/27 03:07:05"
"Aktau-xiaomi-Mangistauskaya","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Mangistauskaya 3","CXXYR90YRFK07","","Y","","","2013/11/07 19:34:16","2019/02/18 03:05:07"
"Aktau-xiaomi-REG-WH","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","?","CXXYR90YRFK07","","Y","","","2017/10/12 16:51:16","2024/04/01 03:06:59"
"Aktau-xiaomi-Trk Aktau","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Aktau","","Aktau(KZ002012011)","","Магазин Актау Байтерек","CXXYR90YRFK07","","Y","43.672805","51.159269","2012/09/25 13:19:04","2022/05/26 20:36:22"
